season,episode_name,director,writer
9,The New Guys,Greg Daniels,Greg Daniels
9,Roy's Wedding,Matt Sohn,Allison Silverman
9,Andy's Ancestry,David Rogers,Jonathan Green
9,Andy's Ancestry,David Rogers,Gabe Miller
9,Work Bus,Bryan Cranston,Brent Forrester
9,Here Comes Treble,Claire Scanlong,Owen Ellickson
9,The Boat,John Krasinski,Dan Sterling
9,The Whale,Rodman Flender,Carrie Kemper
9,The Target,Brent Forrester,Graham Wagner
9,Dwight Christmas,Charles McDougall,Robert Padnick
9,Lice,Rodman Flender,Nicki Schwartz-Wright
9,Suit Warehouse,Matt Sohn,Dan Greaney
9,Customer Loyalty,Kelly Cantley-Kashima,Jonathan Green
9,Customer Loyalty,Kelly Cantley-Kashima,Gabe Miller
9,Junior Salesman,David Rogers,Carrie Kemper
9,Vandalism,Lee Kirk,Owen Ellickson
9,Couples Discount,Troy Miller,Allison Silverman
9,Moving On,Jon Favreau,Graham Wagner
9,The Farm,Paul Lieberstein,Paul Lieberstein
9,Promos,Jennifer Celotta,Tim McAuliffe
9,Stairmageddon,Matt Sohn,Dan Sterling
9,Paper Airplane,Jesse Peretz,Halsted Sullivan
9,Paper Airplane,Jesse Peretz,Warren Lieberstein
9,Livin' the Dream,Jeffrey Blitz,Nicki Schwartz-Wright
9,A.A.R.M,David Rogers,Brent Forrester
9,Finale,Ken Kwapis,Greg Daniels
